id,relid,year,conflict_name,dyad_name,side_a,side_b,state,lga,latitude,longitude,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_estimate,high_estimate,low_estimate,source_article,source_headline,location_description
253932,CHA-2018-2-5583-13,2018,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Nasarawa state,Keana lga,8.23333,8.56667,2018-01-28,2018-01-28,2,0,0,0,2,2,2,"""All Africa,2018-01-29,2 Missing, 73 Cows Killed As Militia Attacks Nasarawa Community"";""Nigeria Watch,2018-01-28,Farmers vs Fulani Herdsmen, Nasarawa""","2 Missing, 73 Cows Killed As Militia Attacks Nasarawa Community;Farmers vs Fulani Herdsmen, Nasarawa",Kadarko community in Keana local government area of Nasarawa
254342,CHA-2018-2-5235-0,2018,Fulani - Mambila,Fulani - Mambila,Fulani,Mambila,Taraba state,Sardauna lga,6.749681,11.200112,2018-01-30,2018-01-30,2,0,0,0,2,2,2,"""Nigeria Watch,2018-01-30,Gunmen Kill 2, Taraba"";""HARVEST OF DEATH. THREE YEARS OF BLOODY CLASHES BETWEEN FARMERS AND HERDERS IN NIGERIA,2018-12-17,4.1 ATTACKS ON FULANI COMMUNITIES IN TARABA STATE""","Gunmen Kill 2, Taraba;4.1 ATTACKS ON FULANI COMMUNITIES IN TARABA STATE","Leme village, Mambilla Plateau, Sardauna LGA"
254340,CHA-2018-2-5583-25,2018,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Nasarawa state,Keana lga,8.23333,8.56667,2018-01-30,2018-01-30,0,7,0,0,7,7,7,"""Sun News Online,2018-01-31,Gunmen kill 7, injure 2 in Nasarawa""","Gunmen kill 7, injure 2 in Nasarawa","Angwan Tiv settlement in Kadarko town, Keana"
253960,CHA-2018-2-5583-17,2018,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Benue state,Gboko lga,7.32275,9.00108,2018-01-31,2018-01-31,7,0,0,0,7,7,7,"""Agence France Presse,2018-01-31,Herder-farmer violence kills 14 in Nigeria""",Herder-farmer violence kills 14 in Nigeria,"Gboko, Benue state"
278887,CHA-2018-2-5583-107,2018,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Taraba state,Gassol lga,8.47269,10.5442,2018-02-01,2018-02-02,0,6,0,0,6,6,6,"""Nigeria Today,2018-02-05,We’ve lost 32 persons to herdsmen in Taraba – Tiv leader""",We’ve lost 32 persons to herdsmen in Taraba – Tiv leader,"in Dan-Anacha, Wurojam in Gassol local government council"
278878,CHA-2018-2-5583-105,2018,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Taraba state,Wukari lga,7.96327,9.84767,2018-02-01,2018-02-02,0,5,0,0,5,5,5,"""Nigeria Today,2018-02-05,We’ve lost 32 persons to herdsmen in Taraba – Tiv leader""",We’ve lost 32 persons to herdsmen in Taraba – Tiv leader,Amande Jembe in Wukari local government
254372,CHA-2018-2-5583-27,2018,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Taraba state,Gassol lga,8.47269,10.5442,2018-02-02,2018-02-02,0,4,0,0,4,4,4,"""Nigeria Watch,2018-02-02,Herdsmen Attack, Taraba"";""Nigeria Today,2018-02-05,We’ve lost 32 persons to herdsmen in Taraba – Tiv leader""","Herdsmen Attack, Taraba;We’ve lost 32 persons to herdsmen in Taraba – Tiv leader","Ngutswen village, Gassol LGA"
254037,CHA-2018-2-5583-20.2,2018,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Nasarawa state,Obi lga,8.36667,8.76667,2018-02-05,2018-02-11,0,5,0,0,5,5,5,"""All Africa,2018-02-12,20 Persons Killed in Latest Attacks On Nasarawa Communities - Senator""",20 Persons Killed in Latest Attacks On Nasarawa Communities - Senator,Obi
254038,CHA-2018-2-5583-20.3,2018,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Nasarawa state,Obi lga,8.4,8.55,2018-02-05,2018-02-11,0,5,0,0,5,5,5,"""All Africa,2018-02-12,20 Persons Killed in Latest Attacks On Nasarawa Communities - Senator""",20 Persons Killed in Latest Attacks On Nasarawa Communities - Senator,Agyaragu
254039,CHA-2018-2-5583-20.4,2018,Fulani - Tiv,Fulani - Tiv,Fulani,Tiv,Nasarawa state,Doma lga,8.39307,8.35544,2018-02-05,2018-02-11,0,5,0,0,5,5,5,"""All Africa,2018-02-12,20 Persons Killed in Latest Attacks On Nasarawa Communities - Senator""",20 Persons Killed in Latest Attacks On Nasarawa Communities - Senator,Doma town
