id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
366861,NIG-2020-1-14669-273.1,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,2,"""@TomaszRolbiecki,2020-10-25,NAF conducted airstrikes targeting"";""@TomaszRolbiecki,2020-10-25,Jumacheri is a settlement 50""",@TomaszRolbiecki;@TomaszRolbiecki,2020-10-25;2020-10-25,NAF conducted airstrikes targeting;Jumacheri is a settlement 50,air force,1,Jumacheri village,in Jumacheri,Borno state,Mobbar lga,13.168496,12.982982,POINT (12.982982 13.168496),148706,Nigeria,NGA,475,Africa,1,1,2020-10-22 00:00:00.000,2020-10-22 00:00:00.000,0,2,0,0,2,1,1,475,
365163,NIG-2020-1-14669-254,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,2,"""@TomaszRolbiecki,2020-10-24,Two more statements from"";""All Africa,2020-10-26,Nigerian Soldiers Engage Boko Haram in Fierce Battles, Kill 16, Destroy Guntrucks - Official
CR 	Premium Times""",@TomaszRolbiecki;All Africa,2020-10-24;2020-10-26,"Two more statements from;Nigerian Soldiers Engage Boko Haram in Fierce Battles, Kill 16, Destroy Guntrucks - Official
CR 	Premium Times",army /// ISWAP,1,Malam Fatori village,"troops of Army Super Camp located at Mallam Fatori; 
 terrorists who attacked their location",Borno state,Abadam lga,13.673400,13.338800,POINT (13.3388 13.6734),149427,Nigeria,NGA,475,Africa,1,1,2020-10-24 00:00:00.000,2020-10-24 00:00:00.000,0,2,0,0,2,7,2,475,
365159,NIG-2020-1-14669-251,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,2,"""Vanguard ,2020-10-25,Police kill 6 suspected terrorists in Yobe"";""@TomaszRolbiecki,2020-10-24,ISWAP just claimed two more""",Vanguard ;@TomaszRolbiecki,2020-10-25;2020-10-24,Police kill 6 suspected terrorists in Yobe;ISWAP just claimed two more,police spokesman,1,Babban Gida village,Babbangida town,Yobe state,Tarmuwa lga,12.107600,11.753900,POINT (11.7539 12.1076),147264,Nigeria,NGA,475,Africa,1,1,2020-10-24 00:00:00.000,2020-10-24 00:00:00.000,1,6,0,0,7,9,7,475,
365183,NIG-2020-1-14669-255,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,2,"""All Africa,2020-10-27,20 Killed, 10 Injured in Borno
CR 	Daily Trust"";""BBC Monitoring Africa,2020-10-27,IS claims multiple attacks on army in northeast Nigeria""",All Africa;BBC Monitoring Africa,2020-10-27;2020-10-27,"20 Killed, 10 Injured in Borno
CR 	Daily Trust;IS claims multiple attacks on army in northeast Nigeria",security source; vigilante /// ISWAP,1,Damboa town,Damboa,Borno state,Damboa lga,11.156040,12.757580,POINT (12.75758 11.15604),145826,Nigeria,NGA,475,Africa,1,1,2020-10-25 00:00:00.000,2020-10-25 00:00:00.000,0,16,4,0,20,30,20,475,
366870,NIG-2020-1-14669-275,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2020-10-28,Yesterday ISWAP finally claimed""",@TomaszRolbiecki,2020-10-28,Yesterday ISWAP finally claimed,ISWAP,1,Tungushe village,in Tungushe,Borno state,Konduga lga,12.042099,13.068708,POINT (13.068708 12.042099),147267,Nigeria,NGA,475,Africa,1,1,2020-10-25 00:00:00.000,2020-10-25 00:00:00.000,0,0,0,0,0,1,0,475,
366865,NIG-2020-1-14669-274,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2020-10-27,And now yesterday's claims""",@TomaszRolbiecki,2020-10-27,And now yesterday's claims,,1,Old Marte town,in Marte,Borno state,Marte lga,12.365320,13.829300,POINT (13.8293 12.36532),147268,Nigeria,NGA,475,Africa,1,1,2020-10-25 00:00:00.000,2020-10-25 00:00:00.000,0,0,0,0,0,1,0,475,
365186,NIG-2020-1-14669-256,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""BBC Monitoring Africa,2020-10-27,IS claims multiple attacks on army in northeast Nigeria""",BBC Monitoring Africa,2020-10-27,IS claims multiple attacks on army in northeast Nigeria,ISWAP,1,Malam Fatori village,in Malam Fatori in Borno State,Borno state,Abadam lga,13.673400,13.338800,POINT (13.3388 13.6734),149427,Nigeria,NGA,475,Africa,1,1,2020-10-26 00:00:00.000,2020-10-26 00:00:00.000,0,0,0,0,0,10,0,475,
366875,NIG-2020-1-14669-279,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2020-10-31,2 attacks claimed by ISWAP""",@TomaszRolbiecki,2020-10-31,2 attacks claimed by ISWAP,ISWAP,5,Biu-Sabon Gari road,Sabon Gari-Biu road,Borno state,Biu lga,10.698612,12.276596,POINT (12.276596 10.698612),145105,Nigeria,NGA,475,Africa,1,1,2020-10-28 00:00:00.000,2020-10-28 00:00:00.000,0,0,0,0,0,6,0,475,
366876,NIG-2020-1-14669-280,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2020-10-31,2 attacks claimed by ISWAP""",@TomaszRolbiecki,2020-10-31,2 attacks claimed by ISWAP,ISWAP,1,Monguno town,Monguno,Borno state,Monguno lga,12.678630,13.607920,POINT (13.60792 12.67863),147988,Nigeria,NGA,475,Africa,1,1,2020-10-28 00:00:00.000,2020-10-28 00:00:00.000,0,0,0,0,0,3,0,475,
366871,NIG-2020-1-14669-276,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2020-10-29,Yesterday ISWAP claimed an IED""",@TomaszRolbiecki,2020-10-29,Yesterday ISWAP claimed an IED,ISWAP,2,Malam Fatori village,between Bosso and Mallam Fatori,Borno state,Abadam lga,13.673400,13.338800,POINT (13.3388 13.6734),149427,Nigeria,NGA,475,Africa,1,1,2020-10-28 00:00:00.000,2020-10-28 00:00:00.000,0,0,0,0,0,10,0,475,
371275,NIG-2020-1-14669-289,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,3,"""Crisis Watch,2020-12-01,Nigeria NOVEMBER 2020"";""Daily Post,2020-11-03,Boko Haram: CJTF battles, repels terrorists’ ambush in Borno"";""BBC Monitoring Africa,2020-11-05,IS claims attack on army in Nigeria""",Crisis Watch;Daily Post;BBC Monitoring Africa,2020-12-01;2020-11-03;2020-11-05,"Nigeria NOVEMBER 2020;Boko Haram: CJTF battles, repels terrorists’ ambush in Borno;IS claims attack on army in Nigeria",Crisis Watch,2,Gasarwa village,"in Nganzai town

///

along Gasarwa and Birmari in Gajiram

///

between the towns of Monguno and Gajiram",Borno state,Nganzai lga,12.618096,13.332251,POINT (13.3322515 12.6180969),147987,Nigeria,NGA,475,Africa,1,1,2020-11-02 00:00:00.000,2020-11-02 00:00:00.000,0,40,0,0,40,74,40,475,
370566,NIG-2020-1-14669-283,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""BBC Monitoring Africa,2020-11-05,IS claims attack on army in Nigeria""",BBC Monitoring Africa,2020-11-05,IS claims attack on army in Nigeria,ISWAP,5,Gajiram-Monguno road,on a road between the towns of Monguno and Gajiram,Borno state,,12.652114,13.362951,POINT (13.362951 12.652114),147987,Nigeria,NGA,475,Africa,1,1,2020-11-02 00:00:00.000,2020-11-02 00:00:00.000,0,0,0,0,0,34,0,475,
370485,NIG-2020-1-14669-282,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,2,"""Agence France Presse,2020-11-04,Landmine kills 9 troops in northeast Nigeria"";""@TomaszRolbiecki,2020-11-02,ISWAP claims yet another IED attack""",Agence France Presse;@TomaszRolbiecki,2020-11-04;2020-11-02,Landmine kills 9 troops in northeast Nigeria;ISWAP claims yet another IED attack,security sources /// ISWAP,2,Malam Fatori village,"near Malam Fatori

///

on the road from Mallum Fatori to Bosso",Borno state,Abadam lga,13.673400,13.338800,POINT (13.3388 13.6734),149427,Nigeria,NGA,475,Africa,1,1,2020-11-02 00:00:00.000,2020-11-02 00:00:00.000,9,0,0,0,9,10,9,475,
371454,NIG-2020-1-14669-288,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,1,"""@TomaszRolbiecki,2020-11-04,ISWAP claimed 2 attacks today""",@TomaszRolbiecki,2020-11-04,ISWAP claimed 2 attacks today,ISWAP,2,Jakana-Mainok road,on the road from Jakana to Mainok,Borno state,,11.826537,12.698943,POINT (12.698943 11.826537),146546,Nigeria,NGA,475,Africa,1,1,2020-11-02 00:00:00.000,2020-11-02 00:00:00.000,0,0,0,0,0,1,0,475,
371356,NIG-2020-1-14669-307,2020,true,Clear,1,13641,13641,Nigeria: Islamic State,14669,14669,Government of Nigeria - IS,84,84,Government of Nigeria,234,234,IS,2,"""HumAngle,2020-11-11,Nigerian Troops Eliminate Terrorists, Rescue Victims In North East"";""@TomaszRolbiecki,2020-11-11,On the same day""",HumAngle;@TomaszRolbiecki,2020-11-11;2020-11-11,"Nigerian Troops Eliminate Terrorists, Rescue Victims In North East;On the same day",HumAngle; defence,3,Ngala lga,"deployed at Gamboru

///

in Bulama Lumbe and Ndufu (south of Gamboru)",Borno state,Ngala lga,12.215320,14.183190,POINT (14.18319 12.21532),147269,Nigeria,NGA,475,Africa,1,1,2020-11-03 00:00:00.000,2020-11-03 00:00:00.000,0,2,0,0,2,2,2,475,
